,A,B,C,D,E,F,G,H,I,J
60,-0.6068378753049212,-0.9013487583605757,0.2821391836379599,-0.14713263034594048,0.22716244924657278,-0.10405672985431952,-0.06531214185969764,-0.2075226470674359,0.1347955044280241,0.20245754179485362
61,0.3392479396283357,0.5484608506905311,-0.37155746228812664,0.09140028482191667,0.169817546521749,-0.014862167222736923,0.5680375631766051,-0.21033258492272572,0.22988725635737953,-0.058486974164001275
62,-0.6033851839853562,0.018480086761458882,-0.37743275580084074,0.5517398536922412,-0.15545916558137637,-0.1312796752238469,-0.12327136638608088,-0.09598166213166422,-0.07808179290596866,-0.1616393851461795
63,0.6360475586147766,0.0793294332825054,-0.22461385763595237,0.0989517209706075,-0.5596426309007578,-0.531922700566105,0.2055731440162933,-0.08264124942827016,-0.07120064316960577,-0.028942103974604522
64,-0.3009670402270314,0.06657164301094944,0.14374667321049223,-0.2029526254045642,0.01582355784652778,-0.31123263898849995,0.3481852247470235,-0.06508685625945804,0.022476435828922333,0.08458247934968105
65,-0.19293240852887164,1.1590159445859605,0.10492565221060768,-0.28904326805228236,-0.018980811990705313,0.1260810328257394,-0.07902004545551468,-0.488803221236675,-0.1605297077425945,0.12660912276847572
66,-0.07740288697297429,-0.6636462492239852,0.21909126082991767,-0.328686678490124,0.2606279611518214,-0.19370853090959544,-0.007608535956823021,-0.23329844886426468,0.05665484118742554,0.0900592886055354
67,1.8296834348113464,-0.33129029253870673,0.21692816418963903,-0.5668708151033279,0.4831573138093852,-0.5876658563827908,-0.28228336219453315,0.9293130613791695,-0.3889723576782264,-0.41648460305797075
68,-0.3466222855866683,-0.6717775251924174,0.21783829093642418,-0.44024913315465786,-0.04379814508055401,-0.2657838878329417,0.09685892261086536,-0.09134116551731132,0.0693387204370423,0.16113836955297237
69,-0.5029470120515783,-0.7673917198179256,-0.30632500802466944,0.043852103028803074,0.02463616820133604,0.26776672650787064,-0.09437918180337813,-0.13416437967590883,-0.02124865119568594,-0.08929567030800731
70,-0.059009307989027385,0.7049491352278815,0.28776079508039054,-0.45738338534406775,-0.2583255350657294,0.062163095268859075,-0.006576341638751255,-0.04653827623650653,0.04443047728592028,0.026655286326817452
71,0.5624358211565589,-0.49956964757748423,-0.42690659643080986,-0.6073344600607694,0.2868799089241555,0.5889315134671772,0.012033183948502833,-0.36764082649647706,-0.08008307031257691,0.11471562366799377
72,-0.5793614660725951,0.6273533835138178,0.1454452201942594,-0.20048387405526766,0.12473231730761107,-0.009583934237261863,-0.020198177058205976,-0.13189827259207082,0.019934995474528587,-0.04953246193064479
73,-0.5384531033420966,-0.19755262430925027,-0.3534680191001968,0.5585757049875448,-0.15251927440975646,-0.251784938164681,-0.05320198916173699,-0.20636101254601,0.08668256102884092,-0.07153596261523779
74,0.5260131862091507,-0.6550983117032773,-0.5126884022394772,-0.557957207116883,0.20339238823304365,0.32306028858155766,-0.10896492762140644,-0.192257013262071,-0.1767661124105286,-0.08949967933925379
75,-0.5542094960559861,0.22045783226164492,-0.27771054412037377,0.602376664371713,-0.14881664763644667,-0.26350260155035954,-0.019584932963461255,-0.23323358436606223,-0.31995247766666823,-0.29998769883129295
